File,five,four,one,six,three,two
C_000395.jpg,0,0,0,1,0,0
C_000396.jpg,0,1,0,0,0,0
C_000397.jpg,0,0,0,0,1,0
C_000398.jpg,0,0,1,0,0,0
C_000399.jpg,0,0,0,0,0,1
C_000400.jpg,0,0,0,1,0,0
C_000401.jpg,0,0,0,0,1,0
C_000402.jpg,0,0,1,0,0,0
C_000403.jpg,1,0,0,0,0,0
C_000404.jpg,0,0,0,0,0,1
C_000405.jpg,0,0,0,1,0,0
C_000406.jpg,0,0,0,1,0,0
C_000407.jpg,0,1,0,0,0,0
C_000408.jpg,0,0,1,0,0,0
C_000409.jpg,1,0,0,0,0,0
C_000410.jpg,0,0,0,0,1,0
C_000411.jpg,0,1,0,0,0,0
C_000412.jpg,0,1,0,0,0,0
C_000413.jpg,0,0,0,0,0,1
C_000414.jpg,0,0,1,0,0,0
C_000415.jpg,0,0,0,0,0,1
C_000416.jpg,0,1,0,0,0,0
C_000417.jpg,0,0,1,0,0,0
C_000418.jpg,0,1,0,0,0,0
C_000419.jpg,0,0,1,0,0,0
C_000420.jpg,0,0,0,0,0,1
C_000421.jpg,1,0,0,0,0,0
C_000422.jpg,0,0,0,0,0,1
C_000423.jpg,0,0,0,0,1,0
C_000424.jpg,0,0,1,0,0,0
C_000425.jpg,0,0,0,1,0,0
C_000426.jpg,0,0,0,1,0,0
C_000427.jpg,0,1,0,0,0,0
C_000428.jpg,0,0,0,0,0,1
C_000429.jpg,0,0,0,0,0,1
C_000430.jpg,0,1,0,0,0,0
C_000431.jpg,0,0,0,0,1,0
C_000432.jpg,1,0,0,0,0,0
C_000433.jpg,0,0,1,0,0,0
C_000434.jpg,0,1,0,0,0,0
C_000435.jpg,0,1,0,0,0,0
C_000436.jpg,0,0,1,0,0,0
C_000437.jpg,0,0,0,0,0,1
C_000438.jpg,1,0,0,0,0,0
C_000439.jpg,0,0,1,0,0,0
C_000440.jpg,1,0,0,0,0,0
C_000441.jpg,0,1,0,0,0,0
C_000442.jpg,0,0,1,0,0,0
C_000443.jpg,0,1,0,0,0,0
C_000444.jpg,0,1,0,0,0,0
C_000445.jpg,1,0,0,0,0,0
C_000446.jpg,0,0,0,0,0,1
C_000447.jpg,0,0,0,0,0,1
C_000448.jpg,0,0,0,1,0,0
C_000449.jpg,1,0,0,0,0,0
C_000450.jpg,1,0,0,0,0,0
C_000451.jpg,0,0,1,0,0,0
C_000452.jpg,0,0,0,0,0,1
C_000453.jpg,0,0,0,0,1,0
C_000454.jpg,0,0,0,0,0,1
C_000455.jpg,0,1,0,0,0,0
C_000456.jpg,1,0,0,0,0,0
C_000457.jpg,0,0,0,1,0,0
C_000458.jpg,0,0,0,1,0,0
C_000459.jpg,0,1,0,0,0,0
C_000460.jpg,0,0,0,1,0,0
C_000461.jpg,0,1,0,0,0,0
C_000462.jpg,0,0,0,0,0,1
C_000463.jpg,0,1,0,0,0,0
C_000464.jpg,1,0,0,0,0,0
C_000465.jpg,1,0,0,0,0,0
C_000466.jpg,0,0,1,0,0,0
C_000467.jpg,0,0,1,0,0,0
C_000468.jpg,0,0,0,1,0,0
C_000469.jpg,0,0,1,0,0,0
C_000470.jpg,0,0,0,0,1,0
C_000471.jpg,0,0,0,1,0,0
C_000472.jpg,0,1,0,0,0,0
C_000473.jpg,1,0,0,0,0,0
C_000474.jpg,1,0,0,0,0,0
C_000475.jpg,0,0,0,0,1,0
C_000476.jpg,0,0,0,1,0,0
C_000477.jpg,0,1,0,0,0,0
C_000478.jpg,0,0,1,0,0,0
C_000479.jpg,0,0,0,0,1,0
C_000480.jpg,0,0,0,1,0,0
C_000481.jpg,1,0,0,0,0,0
C_000482.jpg,0,0,0,1,0,0
C_000483.jpg,0,0,0,0,0,1
C_000484.jpg,1,0,0,0,0,0
C_000485.jpg,0,0,0,1,0,0
C_000486.jpg,0,1,0,0,0,0
C_000487.jpg,1,0,0,0,0,0
C_000488.jpg,1,0,0,0,0,0
C_000489.jpg,0,0,1,0,0,0
C_000490.jpg,0,0,0,0,1,0
C_000491.jpg,0,1,0,0,0,0
C_000492.jpg,0,0,0,0,1,0
C_000493.jpg,0,0,0,0,0,1
C_000494.jpg,0,0,0,0,1,0
C_000495.jpg,0,0,0,0,0,1
C_000496.jpg,1,0,0,0,0,0
C_000497.jpg,0,0,0,0,1,0
C_000498.jpg,1,0,0,0,0,0
C_000499.jpg,0,1,0,0,0,0
C_000500.jpg,0,0,1,0,0,0
C_000501.jpg,0,1,0,0,0,0
C_000502.jpg,0,0,0,1,0,0
C_000503.jpg,1,0,0,0,0,0
C_000504.jpg,0,1,0,0,0,0
C_000505.jpg,0,0,0,1,0,0
C_000506.jpg,0,1,0,0,0,0
C_000507.jpg,0,0,0,0,1,0
C_000508.jpg,0,0,0,0,1,0
C_000509.jpg,0,0,1,0,0,0
C_000510.jpg,0,0,0,0,0,1
C_000511.jpg,0,0,1,0,0,0
C_000512.jpg,0,0,0,0,1,0
C_000513.jpg,0,0,0,0,0,1
C_000514.jpg,0,0,0,1,0,0
C_000515.jpg,0,0,0,0,1,0
C_000516.jpg,0,0,0,0,1,0
