File,eight,five,four,one,seven,six,three,two
C_040152.jpg,0,0,0,0,0,1,0,0
C_040153.jpg,0,0,1,0,0,0,0,0
C_040154.jpg,0,0,0,0,0,1,0,0
C_040155.jpg,1,0,0,0,0,0,0,0
C_040156.jpg,0,0,0,0,0,0,1,0
C_040157.jpg,0,1,0,0,0,0,0,0
C_040158.jpg,0,0,0,1,0,0,0,0
C_040159.jpg,0,0,0,0,0,0,1,0
C_040160.jpg,0,0,1,0,0,0,0,0
C_040161.jpg,0,0,0,0,0,1,0,0
C_040162.jpg,0,0,0,0,0,0,0,1
C_040163.jpg,0,0,0,0,0,1,0,0
C_040164.jpg,0,0,0,0,0,0,1,0
C_040165.jpg,0,0,0,0,0,0,0,1
C_040166.jpg,0,0,0,1,0,0,0,0
C_040167.jpg,0,0,0,0,0,0,0,1
C_040168.jpg,1,0,0,0,0,0,0,0
C_040169.jpg,0,0,0,0,0,1,0,0
C_040170.jpg,1,0,0,0,0,0,0,0
C_040171.jpg,0,0,0,1,0,0,0,0
C_040172.jpg,1,0,0,0,0,0,0,0
C_040173.jpg,0,0,0,0,1,0,0,0
C_040174.jpg,0,1,0,0,0,0,0,0
C_040175.jpg,0,0,1,0,0,0,0,0
C_040176.jpg,0,0,0,0,1,0,0,0
C_040177.jpg,1,0,0,0,0,0,0,0
C_040178.jpg,0,1,0,0,0,0,0,0
C_040179.jpg,0,1,0,0,0,0,0,0
C_040180.jpg,0,0,1,0,0,0,0,0
C_040181.jpg,1,0,0,0,0,0,0,0
C_040182.jpg,0,1,0,0,0,0,0,0
C_040183.jpg,0,0,0,0,1,0,0,0
C_040184.jpg,0,0,1,0,0,0,0,0
C_040185.jpg,0,1,0,0,0,0,0,0
C_040186.jpg,1,0,0,0,0,0,0,0
C_040187.jpg,0,0,0,1,0,0,0,0
C_040188.jpg,0,0,0,0,0,0,1,0
C_040189.jpg,0,0,0,0,0,0,0,1
C_040190.jpg,0,0,0,0,0,1,0,0
C_040191.jpg,0,0,0,1,0,0,0,0
C_040192.jpg,1,0,0,0,0,0,0,0
C_040193.jpg,0,0,1,0,0,0,0,0
C_040194.jpg,0,0,0,0,0,1,0,0
C_040195.jpg,0,1,0,0,0,0,0,0
C_040196.jpg,0,0,0,1,0,0,0,0
C_040197.jpg,0,0,0,0,0,0,0,1
C_040198.jpg,0,0,0,0,0,0,0,1
C_040199.jpg,0,0,0,0,0,0,1,0
C_040200.jpg,0,1,0,0,0,0,0,0
C_040201.jpg,0,0,0,0,0,1,0,0
C_040202.jpg,0,0,0,1,0,0,0,0
C_040203.jpg,0,1,0,0,0,0,0,0
C_040204.jpg,0,0,0,0,0,1,0,0
C_040205.jpg,0,0,0,0,0,0,0,1
C_040206.jpg,1,0,0,0,0,0,0,0
C_040207.jpg,0,0,0,0,0,0,1,0
C_040208.jpg,0,0,0,1,0,0,0,0
C_040209.jpg,0,0,1,0,0,0,0,0
